time,mouse_dx,mouse_dy,mouse_scroll
2021-02-01T17:29:08.575,0,0,0
2021-02-01T17:29:08.577,0,0,0
2021-02-01T17:29:08.581,0,0,0
2021-02-01T17:29:08.585,0,0,0
2021-02-01T17:29:08.589,0,0,0
2021-02-01T17:29:08.593,0,0,0
2021-02-01T17:29:08.597,0,0,0
2021-02-01T17:29:08.603,0,0,0
2021-02-01T17:29:08.606,0,0,0
2021-02-01T17:29:08.610,0,0,0
2021-02-01T17:29:08.615,0,0,0
2021-02-01T17:29:08.619,0,0,0
2021-02-01T17:29:08.623,0,0,0
2021-02-01T17:29:08.627,0,0,0
2021-02-01T17:29:08.631,0,0,0
2021-02-01T17:29:08.635,0,0,0
2021-02-01T17:29:08.639,0,0,0
2021-02-01T17:29:08.643,0,0,0
2021-02-01T17:29:08.647,0,0,0
2021-02-01T17:29:08.653,0,0,0
2021-02-01T17:29:08.656,0,0,0
2021-02-01T17:29:08.661,0,0,0
2021-02-01T17:29:08.664,0,0,0
2021-02-01T17:29:08.673,0,0,0
2021-02-01T17:29:08.676,0,0,0
2021-02-01T17:29:08.679,0,0,0
2021-02-01T17:29:08.684,0,0,0
2021-02-01T17:29:08.689,0,0,0
2021-02-01T17:29:08.693,0,0,0
2021-02-01T17:29:08.696,0,0,0
2021-02-01T17:29:08.700,0,0,0
2021-02-01T17:29:08.703,0,0,0
2021-02-01T17:29:08.707,0,0,0
2021-02-01T17:29:08.713,0,0,0
2021-02-01T17:29:08.716,0,0,0
2021-02-01T17:29:08.720,0,0,0
2021-02-01T17:29:08.724,0,0,0
2021-02-01T17:29:08.728,0,0,0
2021-02-01T17:29:08.735,0,0,0
2021-02-01T17:29:08.737,0,0,0
2021-02-01T17:29:08.741,0,0,0
2021-02-01T17:29:08.744,0,0,0
2021-02-01T17:29:08.748,0,0,0
2021-02-01T17:29:08.753,0,0,0
2021-02-01T17:29:08.756,0,0,0
2021-02-01T17:29:08.760,0,0,0
2021-02-01T17:29:08.764,0,0,0
2021-02-01T17:29:08.769,0,0,0
2021-02-01T17:29:08.773,0,0,0
2021-02-01T17:29:08.777,0,0,0
2021-02-01T17:29:08.781,0,0,0
2021-02-01T17:29:08.788,0,0,0
2021-02-01T17:29:08.794,0,0,0
2021-02-01T17:29:08.796,0,0,0
2021-02-01T17:29:08.798,0,0,0
2021-02-01T17:29:08.802,0,0,0
2021-02-01T17:29:08.808,0,0,0
2021-02-01T17:29:08.812,0,0,0
2021-02-01T17:29:08.816,0,0,0
2021-02-01T17:29:08.820,0,0,0
2021-02-01T17:29:08.825,0,0,0
2021-02-01T17:29:08.830,0,0,0
2021-02-01T17:29:08.833,0,0,0
2021-02-01T17:29:08.837,0,0,0
2021-02-01T17:29:08.841,0,0,0
2021-02-01T17:29:08.845,0,0,0
2021-02-01T17:29:08.849,0,0,0
2021-02-01T17:29:08.854,0,0,0
2021-02-01T17:29:08.858,0,0,0
2021-02-01T17:29:08.863,0,0,0
2021-02-01T17:29:08.868,0,0,0
2021-02-01T17:29:08.873,0,0,0
2021-02-01T17:29:08.876,0,0,0
2021-02-01T17:29:08.883,0,0,0
2021-02-01T17:29:08.885,0,0,0
2021-02-01T17:29:08.888,0,0,0
2021-02-01T17:29:08.892,0,0,0
2021-02-01T17:29:08.896,0,0,0
2021-02-01T17:29:08.904,0,0,0
2021-02-01T17:29:08.908,0,0,0
2021-02-01T17:29:08.910,0,0,0
2021-02-01T17:29:08.915,0,0,0
2021-02-01T17:29:08.918,0,0,0
2021-02-01T17:29:08.922,0,0,0
2021-02-01T17:29:08.926,0,0,0
2021-02-01T17:29:08.931,0,0,0
2021-02-01T17:29:08.936,0,0,0
2021-02-01T17:29:08.939,0,0,0
2021-02-01T17:29:08.943,0,0,0
2021-02-01T17:29:08.947,0,0,0
2021-02-01T17:29:08.952,0,0,0
2021-02-01T17:29:08.955,0,0,0
2021-02-01T17:29:08.959,0,0,0
2021-02-01T17:29:08.963,0,0,0
2021-02-01T17:29:08.968,0,0,0
2021-02-01T17:29:08.973,0,0,0
2021-02-01T17:29:08.975,0,0,0
2021-02-01T17:29:08.979,0,0,0
2021-02-01T17:29:08.983,0,0,0
2021-02-01T17:29:08.987,0,0,0
2021-02-01T17:29:08.991,0,0,0
2021-02-01T17:29:08.996,0,0,0
2021-02-01T17:29:09.002,0,0,0
2021-02-01T17:29:09.007,0,0,0
2021-02-01T17:29:09.011,0,0,0
2021-02-01T17:29:09.017,0,0,0
2021-02-01T17:29:09.022,0,0,0
2021-02-01T17:29:09.025,0,0,0
2021-02-01T17:29:09.029,0,0,0
2021-02-01T17:29:09.033,0,0,0
2021-02-01T17:29:09.037,0,0,0
2021-02-01T17:29:09.042,0,0,0
2021-02-01T17:29:09.046,0,0,0
2021-02-01T17:29:09.051,0,0,0
2021-02-01T17:29:09.054,0,0,0
2021-02-01T17:29:09.058,0,0,0
2021-02-01T17:29:09.062,0,0,0
2021-02-01T17:29:09.066,0,0,0
2021-02-01T17:29:09.072,0,0,0
2021-02-01T17:29:09.075,0,0,0
2021-02-01T17:29:09.079,0,0,0
2021-02-01T17:29:09.083,0,0,0
2021-02-01T17:29:09.088,0,0,0
2021-02-01T17:29:09.091,0,0,0
2021-02-01T17:29:09.095,0,0,0
2021-02-01T17:29:09.099,0,0,0
2021-02-01T17:29:09.103,0,0,0
2021-02-01T17:29:09.107,0,0,0
2021-02-01T17:29:09.112,0,0,0
2021-02-01T17:29:09.116,0,0,0
2021-02-01T17:29:09.120,0,0,0
2021-02-01T17:29:09.124,0,0,0
2021-02-01T17:29:09.128,0,0,0
2021-02-01T17:29:09.134,0,0,0
2021-02-01T17:29:09.139,0,0,0
2021-02-01T17:29:09.142,0,0,0
2021-02-01T17:29:09.145,0,0,0
2021-02-01T17:29:09.149,0,0,0
2021-02-01T17:29:09.153,0,0,0
2021-02-01T17:29:09.159,0,0,0
2021-02-01T17:29:09.162,0,0,0
2021-02-01T17:29:09.166,0,0,0
2021-02-01T17:29:09.170,0,0,0
2021-02-01T17:29:09.174,0,0,0
2021-02-01T17:29:09.180,0,0,0
2021-02-01T17:29:09.184,0,0,0
2021-02-01T17:29:09.188,0,0,0
2021-02-01T17:29:09.193,0,0,0
2021-02-01T17:29:09.196,0,0,0
2021-02-01T17:29:09.202,0,0,0
2021-02-01T17:29:09.205,0,0,0
2021-02-01T17:29:09.209,0,0,0
2021-02-01T17:29:09.213,0,0,0
2021-02-01T17:29:09.217,0,0,0
2021-02-01T17:29:09.221,0,0,0
2021-02-01T17:29:09.225,0,0,0
2021-02-01T17:29:09.230,0,0,0
2021-02-01T17:29:09.233,0,0,0
2021-02-01T17:29:09.237,0,0,0
2021-02-01T17:29:09.241,0,0,0
2021-02-01T17:29:09.245,0,0,0
2021-02-01T17:29:09.251,0,0,0
2021-02-01T17:29:09.255,0,0,0
2021-02-01T17:29:09.259,0,0,0
2021-02-01T17:29:09.264,0,0,0
2021-02-01T17:29:09.268,0,0,0
2021-02-01T17:29:09.272,0,0,0
2021-02-01T17:29:09.277,0,0,0
2021-02-01T17:29:09.280,0,0,0
2021-02-01T17:29:09.285,0,0,0
2021-02-01T17:29:09.288,0,0,0
2021-02-01T17:29:09.292,0,0,0
2021-02-01T17:29:09.295,0,0,0
2021-02-01T17:29:09.300,0,0,0
2021-02-01T17:29:09.303,0,0,0
2021-02-01T17:29:09.307,0,0,0
2021-02-01T17:29:09.311,0,0,0
2021-02-01T17:29:09.315,0,0,0
2021-02-01T17:29:09.320,0,0,0
2021-02-01T17:29:09.324,0,0,0
2021-02-01T17:29:09.328,0,0,0
2021-02-01T17:29:09.332,0,0,0
2021-02-01T17:29:09.336,0,0,0
2021-02-01T17:29:09.340,0,0,0
2021-02-01T17:29:09.344,0,0,0
2021-02-01T17:29:09.351,0,0,0
2021-02-01T17:29:09.353,0,0,0
2021-02-01T17:29:09.357,0,0,0
2021-02-01T17:29:09.361,0,0,0
2021-02-01T17:29:09.366,0,0,0
2021-02-01T17:29:09.371,0,0,0
2021-02-01T17:29:09.374,0,0,0
2021-02-01T17:29:09.378,0,0,0
2021-02-01T17:29:09.382,0,0,0
2021-02-01T17:29:09.388,0,0,0
2021-02-01T17:29:09.390,0,0,0
2021-02-01T17:29:09.394,0,0,0
2021-02-01T17:29:09.398,0,0,0
2021-02-01T17:29:09.402,0,0,0
2021-02-01T17:29:09.406,0,0,0
2021-02-01T17:29:09.411,0,0,0
2021-02-01T17:29:09.415,0,0,0
2021-02-01T17:29:09.419,0,0,0
2021-02-01T17:29:09.424,0,0,0
2021-02-01T17:29:09.427,0,0,0
2021-02-01T17:29:09.431,0,0,0
2021-02-01T17:29:09.437,0,0,0
2021-02-01T17:29:09.441,0,0,0
2021-02-01T17:29:09.444,0,0,0
2021-02-01T17:29:09.448,0,0,0
2021-02-01T17:29:09.452,0,0,0
2021-02-01T17:29:09.456,0,0,0
2021-02-01T17:29:09.461,0,0,0
2021-02-01T17:29:09.466,0,0,0
2021-02-01T17:29:09.470,0,0,0
2021-02-01T17:29:09.476,0,0,0
2021-02-01T17:29:09.481,0,0,0
2021-02-01T17:29:09.486,0,0,0
2021-02-01T17:29:09.489,0,0,0
2021-02-01T17:29:09.493,0,0,0
2021-02-01T17:29:09.497,0,0,0
2021-02-01T17:29:09.501,0,0,0
2021-02-01T17:29:09.505,0,0,0
2021-02-01T17:29:09.509,0,0,0
2021-02-01T17:29:09.513,0,0,0
2021-02-01T17:29:09.517,0,0,0
2021-02-01T17:29:09.521,0,0,0
2021-02-01T17:29:09.525,0,0,0
2021-02-01T17:29:09.529,0,0,0
2021-02-01T17:29:09.534,0,0,0
2021-02-01T17:29:09.539,0,0,0
2021-02-01T17:29:09.542,0,0,0
2021-02-01T17:29:09.546,0,0,0
2021-02-01T17:29:09.552,0,0,0
2021-02-01T17:29:09.556,0,0,0
2021-02-01T17:29:09.559,0,0,0
2021-02-01T17:29:09.564,0,0,0
2021-02-01T17:29:09.568,0,0,0
2021-02-01T17:29:09.572,0,0,0
2021-02-01T17:29:09.576,0,0,0
2021-02-01T17:29:09.580,0,0,0
2021-02-01T17:29:09.585,0,0,0
2021-02-01T17:29:09.588,0,0,0
2021-02-01T17:29:09.592,0,0,0
2021-02-01T17:29:09.596,0,0,0
2021-02-01T17:29:09.601,0,0,0
2021-02-01T17:29:09.604,0,0,0
2021-02-01T17:29:09.608,0,0,0
2021-02-01T17:29:09.612,0,0,0
2021-02-01T17:29:09.620,0,0,0
2021-02-01T17:29:09.622,0,0,0
2021-02-01T17:29:09.625,0,0,0
2021-02-01T17:29:09.629,0,0,0
2021-02-01T17:29:09.633,0,0,0
2021-02-01T17:29:09.637,0,0,0
2021-02-01T17:29:09.641,0,0,0
2021-02-01T17:29:09.645,0,0,0
2021-02-01T17:29:09.649,0,0,0
2021-02-01T17:29:09.653,0,0,0
2021-02-01T17:29:09.657,0,0,0
2021-02-01T17:29:09.661,0,0,0
2021-02-01T17:29:09.665,0,0,0
2021-02-01T17:29:09.670,0,0,0
2021-02-01T17:29:09.675,0,0,0
2021-02-01T17:29:09.678,0,0,0
2021-02-01T17:29:09.682,0,0,0
2021-02-01T17:29:09.688,0,0,0
2021-02-01T17:29:09.692,0,0,0
