time,mouse_key
2021-02-01T17:25:15.014,"{}"
2021-02-01T17:25:15.018,"{}"
2021-02-01T17:25:15.026,"{}"
2021-02-01T17:25:15.027,"{}"
2021-02-01T17:25:15.031,"{}"
2021-02-01T17:25:15.036,"{}"
2021-02-01T17:25:15.040,"{}"
2021-02-01T17:25:15.046,"{}"
2021-02-01T17:25:15.048,"{}"
2021-02-01T17:25:15.052,"{}"
2021-02-01T17:25:15.056,"{}"
2021-02-01T17:25:15.060,"{}"
2021-02-01T17:25:15.064,"{}"
2021-02-01T17:25:15.068,"{}"
2021-02-01T17:25:15.074,"{}"
2021-02-01T17:25:15.078,"{}"
2021-02-01T17:25:15.081,"{}"
2021-02-01T17:25:15.085,"{}"
2021-02-01T17:25:15.089,"{}"
2021-02-01T17:25:15.094,"{}"
2021-02-01T17:25:15.098,"{}"
2021-02-01T17:25:15.102,"{}"
2021-02-01T17:25:15.106,"{}"
2021-02-01T17:25:15.110,"{}"
2021-02-01T17:25:15.114,"{}"
2021-02-01T17:25:15.118,"{}"
2021-02-01T17:25:15.127,"{}"
2021-02-01T17:25:15.129,"{}"
2021-02-01T17:25:15.132,"{}"
2021-02-01T17:25:15.136,"{}"
2021-02-01T17:25:15.140,"{}"
2021-02-01T17:25:15.146,"{}"
2021-02-01T17:25:15.149,"{}"
2021-02-01T17:25:15.152,"{}"
2021-02-01T17:25:15.156,"{}"
2021-02-01T17:25:15.161,"{}"
2021-02-01T17:25:15.164,"{}"
2021-02-01T17:25:15.168,"{}"
2021-02-01T17:25:15.173,"{}"
2021-02-01T17:25:15.177,"{}"
2021-02-01T17:25:15.181,"{}"
2021-02-01T17:25:15.185,"{}"
2021-02-01T17:25:15.194,"{}"
2021-02-01T17:25:15.200,"{}"
2021-02-01T17:25:15.203,"{}"
2021-02-01T17:25:15.207,"{}"
2021-02-01T17:25:15.211,"{}"
2021-02-01T17:25:15.218,"{}"
2021-02-01T17:25:15.221,"{}"
2021-02-01T17:25:15.225,"{}"
2021-02-01T17:25:15.229,"{}"
2021-02-01T17:25:15.233,"{}"
2021-02-01T17:25:15.237,"{}"
2021-02-01T17:25:15.244,"{}"
2021-02-01T17:25:15.248,"{}"
2021-02-01T17:25:15.250,"{}"
